n,heapsort.ticks
150000,20379492
180000,24860580
210000,29372750
240000,33910537
270000,38486101
300000,43167458
330000,47863399
360000,52600086
390000,57343271
420000,62100999
450000,66888086
480000,71671672
510000,76453801
540000,81305059
570000,86204292
600000,91146672
630000,96067358
660000,101024365
690000,106005613
720000,110969035
750000,115955826
780000,120939436
810000,125938409
840000,130935476
870000,135940007
900000,140965991
930000,145992249
960000,151008889
990000,156058872
1020000,161080399
1050000,166120045
1080000,171258644
1110000,176391903
1140000,181553227
1170000,186701053
1200000,191880128
1230000,197043211
1260000,202247494
1290000,207415372
1320000,212624436
1350000,217805333
1380000,223026907
1410000,228212061
1440000,233458335
1470000,238662218
