n,heapsort.time
150000,213
180000,265
210000,331
240000,398
270000,480
300000,539
330000,598
360000,675
390000,793
420000,856
450000,915
480000,991
510000,1061
540000,1141
570000,1236
600000,1384
630000,1456
660000,1602
690000,1636
720000,1786
750000,1899
780000,1868
810000,1922
840000,1992
870000,2094
900000,2137
930000,2249
960000,2316
990000,2401
1020000,2500
1050000,2574
1080000,2700
1110000,2823
1140000,2982
1170000,3052
1200000,3174
1230000,3329
1260000,3386
1290000,3450
1320000,3508
1350000,3661
1380000,3845
1410000,4142
1440000,4059
1470000,4138
